AGRUPADOR,CÓDIGO BARRAS,DESCRIPCIÓN ARTICULO,UNIDAD MANEJO,CÓDIGO BARRAS UNIDAD MANEJO,PALLETIZADO,CANTIDAD POR PALLET,ALTO,ANCHO,PROFUNDIDAD,VOLUMEN,PESO,DENSIDAD,RESISTENCIA,CONTAMINANTE,TIPODESPACHO,RECIPIENTE
,69534,BOMBONES LA UNIVERSAL,1,,0,60,28,28,32,0.025088,9,358.737,,,DESPACHO LOCAL ARTICULO,
,69535,LA UNIVERSAL CARAMELO SURTIDO,1,,0,150,8,32,38,0.009728,5,513.98,,,DESPACHO LOCAL ARTICULO,
,69537,TOFFE LA UNIVERSAL,4,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,69538,TROPICAL CARAMELO LA UNIVERSAL,2,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
,69539,BONANZA GOMAS MORAS,1,,0,80,23,26,25,0.01495,8,535.117,,,DESPACHO LOCAL ARTICULO,
,69547,SYVER CARAMELO FIESTA SURTIDO MIEL,1,1.78611E+13,0,60,20,23,42,0.01932,10,517.598,,,DESPACHO LOCAL ARTICULO,
,69548,CONFITECA CHUPETE JUGUETON,1,1.7861E+13,0,40,20,35,50,0.035,10,285.714,,,DESPACHO LOCAL ARTICULO,
,69549,CONFITECA CHUPETE PLOP SURTIDO,1,1.7861E+13,0,60,25,32,50,0.04,10,250,,,DESPACHO LOCAL ARTICULO,
,69590,HUEVITOS EMAPACADOS LA UNIVERSAL,1,1.78621E+13,0,45,70,50,69,0.2415,16,66.252,,,DESPACHO LOCAL ARTICULO,
,69592,CARAMELO SURTIDO EMPACADO LA UNIVERSAL,1,1.78621E+13,0,200,10,25,35,0.00875,5,571.428,,,DESPACHO LOCAL ARTICULO,
,336083,NESTLE ZOOLOGIA GRANEL BULTO,1,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
1,60742,LO.COMIDA PERROS ADULTOS GRANEL,1,,0,40,,,,,,,,,DESPACHO LOCAL ARTICULO,
1,61552,LO.ORIGINAL COMIDA PERROS CACHORROS GRANEL,1,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
1,62618,MP ALIMENTOS PARA GATOS GRANEL,1,,0,,,,,,,,,,DESPACHO LOCAL ARTICULO,
1,96887000417,DOG STAR ADULTOS,10,1.00969E+13,0,25,21,49.6,56,0.0583296,20.6,353.165,,,DESPACHO LOCAL ARTICULO,
1,96887000424,DOG STAR ADULTO,5,1.00969E+13,0,80,23.2,47.6,52.2,0.0576455,20.58,357.009,,,DESPACHO LOCAL ARTICULO,
1,96887000431,DOG STAR ADULTO,2,1.00969E+13,0,200,18,40.6,47.4,0.03463992,18.3,528.292,,,DESPACHO LOCAL ARTICULO,
1,96887000448,DOG STAR ADULTOS,1,96887000448,0,100,16.8,42.4,61.4,0.04373644,15.2,347.536,,,DESPACHO LOCAL ARTICULO,
1,96887000455,DOG STAR ADULTOS,1,96887000455,0,50,20,49.8,81,0.080676,30.4,376.815,,,DESPACHO LOCAL ARTICULO,
1,96887000479,DOG STAR CACHORROS,10,1.00969E+13,0,24,18.8,48.8,57.8,0.05302803,20.48,386.21,,,DESPACHO LOCAL ARTICULO,
