CODIGOARTICULO;CODIGOCLASIFICACION
1018005;1606
1018006;1704
1018007;1704
1018008;1606
1018009;1704
1018010;1704
1018012;1704
1018013;1606
1018014;1704
1018015;1704
1018016;1116
1018017;1704
1018018;1704
1018019;1009
1018020;1704
1018021;1704
1018022;1704
1018023;1704
1018024;1704
1018025;1704
1018026;1704
1018027;1606
1018028;1606
1018029;1606
1018030;1606
1018069;1606
1018108;1606
1018109;1606
1018110;1606
1018113;1334
1018114;4118
1018115;1606
1018116;4144
1018117;1704
1018118;1331
1018119;4144
1018120;1026
1018121;1331
1018122;1044
1018123;1704
1018124;1315
1018125;1606
1018126;1606
1018127;1704
1018130;1606
1018131;1704
1018132;1704
1018133;1704
1018134;1044
1018135;1704
1018137;1704
1018138;1704
1018139;1704
1018140;1136
1018141;1704
1018142;1704
1018143;1704
1018144;1704
1018145;1704
1018146;1606
1018148;1331
1018149;1606
1018163;1606
1018164;1606
1018165;1606
1018166;1606
1018167;1606
1018168;1606
1018171;1606
1018175;1606
1018180;1606
1018181;1606
1018182;1606
1018185;1606
1018190;1606
1018191;1606
1018203;1606
1018204;1606
1018205;1606
1018206;1606
1018208;1606
1018261;1606
1018263;1606
1018298;1606
1018299;1606
1018304;1606
1018305;1606
1018306;4126
1018307;1606
1018308;1606
1018309;1041
1018310;1606
1018311;1606
1018312;1041
1018313;1041
1018321;1606
1018323;1606
1018324;1606
1018325;1606
1018326;1606
1018328;1606
1018329;1606
1018330;1606
1018331;1606
1018332;1606
1018333;1606
1018334;1606
1018335;1606
1018336;1606
1018337;1606
1018338;1606
1018339;1606
1018340;1606
1018341;1606
1018342;1606
1018343;1606
1018344;1606
1018345;1606
1018346;1606
1018347;1606
1018348;1606
1018349;1606
1018350;1606
1018351;1606
1018352;1606
1018353;1606
1018354;1606
1018355;1606
1018357;1606
1018358;1068
1018359;1068
1018360;1606
1018361;1606
1018362;1606
1018363;1606
1018364;1606
1018365;1606
1018366;1606
1018367;1606
